path_index_zero_based,scene_number_one_based,window_index,window_start_seconds,nr_db,disturbance_energy,residual_energy,is_negative_nr
0,1,0,20.0,16.077842712402344,0.8475344181060791,0.020910918712615967,0
0,1,1,22.0,13.292980194091797,0.635150671005249,0.02975628711283207,0
0,1,2,24.0,14.630910873413086,0.35538846254348755,0.012235231697559357,0
0,1,3,26.0,15.25076961517334,0.8362783789634705,0.024961691349744797,0
1,2,0,20.0,12.917612075805664,0.8700320720672607,0.04444001615047455,0
1,2,1,22.0,11.123337745666504,0.6679693460464478,0.05157305300235748,0
1,2,2,24.0,12.549662590026855,0.3598759174346924,0.020007207989692688,0
1,2,3,26.0,13.167162895202637,0.8527209758758545,0.041123561561107635,0
2,3,0,20.0,13.665623664855957,0.7857605218887329,0.03378530591726303,0
2,3,1,22.0,11.046327590942383,0.6029913425445557,0.04738907888531685,0
2,3,2,24.0,12.580145835876465,0.3238109350204468,0.017876269295811653,0
2,3,3,26.0,12.92289924621582,0.7720217704772949,0.03938579559326172,0
3,4,0,20.0,14.898327827453613,0.8716396689414978,0.028216570615768433,0
3,4,1,22.0,12.281784057617188,0.6613583564758301,0.03910735249519348,0
3,4,2,24.0,13.173417091369629,0.3513736426830292,0.016921058297157288,0
3,4,3,26.0,14.405895233154297,0.8508464097976685,0.030850457027554512,0
4,5,0,20.0,14.61141586303711,0.8071318864822388,0.027912767603993416,0
4,5,1,22.0,11.778976440429688,0.6239535212516785,0.041424237191677094,0
4,5,2,24.0,14.18800163269043,0.3305245041847229,0.012600958347320557,0
4,5,3,26.0,14.547163009643555,0.7926439046859741,0.027820296585559845,0
5,6,0,20.0,6.361889839172363,0.8880400657653809,0.20523129403591156,0
5,6,1,22.0,5.983269214630127,0.6830762624740601,0.17224326729774475,0
5,6,2,24.0,6.338098049163818,0.39525505900382996,0.09184756875038147,0
5,6,3,26.0,6.446314334869385,0.8909095525741577,0.20193061232566833,0
6,7,0,20.0,0.6757264733314514,1.1952996253967285,1.0230671167373657,0
6,7,1,22.0,0.7094157338142395,0.9811414480209351,0.833278238773346,0
6,7,2,24.0,0.9165468215942383,0.7081301212310791,0.5734009146690369,0
6,7,3,26.0,0.7021825313568115,1.25831937789917,1.0704654455184937,0
7,8,0,20.0,14.524164199829102,0.80366051197052,0.028356730937957764,0
7,8,1,22.0,12.096680641174316,0.6321465373039246,0.03900764882564545,0
7,8,2,24.0,13.878692626953125,0.3281734585762024,0.013434892520308495,0
7,8,3,26.0,14.034793853759766,0.7945303916931152,0.031378429383039474,0
